stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\thall\Desktop\JogoAllegro5\Birigui\mini_game_surf\x64\Debug\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.26638] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.26740] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.26816] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.26942] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.27074] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.28686] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.30169] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32007] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32243] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32299] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32550] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32754] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32910] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.33038] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33152] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.33260] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33369] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.33480] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33598] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.33711] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33827] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.33944] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.34047] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.34075] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.34223] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.34371] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.34419] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.34531] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.34594] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.34681] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.34766] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.34840] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.34911] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.35004] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.35056] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.35164] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.35212] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.35312] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.35394] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.35446] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.35554] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.35601] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.35690] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.35760] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.35959] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.35977] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.35992] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.36005] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.36099] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.36281] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.36319] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.36332] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.36430] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.36501] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.36605] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.36651] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.36768] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.36802] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.36877] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.36990] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.37019] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.37034] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.37137] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.37169] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.37183] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.37266] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.37386] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.37417] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.37444] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.37614] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.37668] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.37733] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.37899] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.37932] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.37948] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.38093] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.38189] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.38226] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.38239] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.38249] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.38259] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.38268] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.38278] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.38287] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.38297] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.38307] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.38317] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.38326] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
